variant,bbox,visibleAreaPx,centerPx,orientationDeg,bboxEdgeResidualPx,centerResidualPx,visibleAreaRatio,orientationDifferenceDeg,silhouetteIoU,meanBoundaryDistancePx
baseline,"[0, 143, 218, 363]",17343,"[87.90653289511619, 266.6922101135905]",133.73901338552426,"[0, 109, 55, 6]","[15.732585260225406, 37.80026782652237]",1.2543758136843628,46.86165224920333,0.49778952426717926,25.79968658829516
v2,"[0, 249, 159, 361]",13558,"[72.15098097064464, 304.5516300339283]",176.4519143584334,"[0, 3, 4, 4]","[0.022966664246141022, 0.05915209381544173]",0.9806162302907565,4.148751276294178,0.8095552765479416,5.831851543235075
v3,"[0, 243, 155, 367]",14285,"[76.29352467623382, 304.0756737836892]",172.85093442366428,"[0, 9, 8, 10]","[4.119577041343035, 0.416804156423666]",1.033198322002025,7.749731211063306,0.7527746601820676,8.098956411907132
