variant,bbox,visibleAreaPx,centerPx,orientationDeg,bboxEdgeResidualPx,centerResidualPx,visibleAreaRatio,orientationDifferenceDeg,silhouetteIoU,meanBoundaryDistancePx
baseline,"[0, 143, 218, 363]",17343,"[87.90653289511619, 266.6922101135905]",133.73901338552426,"[0, 109, 55, 6]","[15.732585260225406, 37.80026782652237]",1.2543758136843628,46.86165224920333,0.49778952426717926,25.79968658829516
candidate,"[0, 201, 179, 398]",22876,"[78.53772512677041, 301.0909249868858]",141.92488634362323,"[0, 51, 16, 41]","[6.363777491879631, 3.4015529532270534]",1.654563865181542,38.67577929110436,0.5923467395548614,16.75308529967024
