variant,bbox,visibleAreaPx,centerPx,orientationDeg,bboxEdgeResidualPx,centerResidualPx,visibleAreaRatio,orientationDifferenceDeg,silhouetteIoU,meanBoundaryDistancePx
baseline,"[0, 143, 218, 363]",17343,"[87.90653289511619, 266.6922101135905]",133.73901338552426,"[0, 109, 55, 6]","[15.732585260225406, 37.80026782652237]",1.2543758136843628,46.86165224920333,0.49778952426717926,25.79968658829516
candidate-v1,"[0, 201, 179, 398]",22876,"[78.53772512677041, 301.0909249868858]",141.92488634362323,"[0, 51, 16, 41]","[6.363777491879631, 3.4015529532270534]",1.654563865181542,38.67577929110436,0.5923467395548614,16.75308529967024
candidate-v2,"[0, 249, 159, 361]",13558,"[72.15098097064464, 304.5516300339283]",176.4519143584334,"[0, 3, 4, 4]","[0.022966664246141022, 0.05915209381544173]",0.9806162302907565,4.148751276294178,0.8095552765479416,5.831851543235075
